Timestamp,Timestamp (ESP32)
2025-10-10 05:40:34,2025-10-10 05:40:34
2025-10-10 05:40:39,2025-10-10 05:40:39
2025-10-10 05:40:45,2025-10-10 05:40:44
2025-10-10 05:40:50,2025-10-10 05:40:49
2025-10-10 05:40:55,2025-10-10 05:40:55
2025-10-10 05:41:00,2025-10-10 05:41:00
2025-10-10 05:41:05,2025-10-10 05:41:05
2025-10-10 05:41:10,2025-10-10 05:41:10
2025-10-10 05:41:15,2025-10-10 05:41:15
2025-10-10 05:41:20,2025-10-10 05:41:20
2025-10-10 05:41:25,2025-10-10 05:41:25
2025-10-10 05:41:30,2025-10-10 05:41:30
2025-10-10 05:41:35,2025-10-10 05:41:35
2025-10-10 05:41:40,2025-10-10 05:41:40
2025-10-10 05:41:46,2025-10-10 05:41:45
2025-10-10 05:41:51,2025-10-10 05:41:51
2025-10-10 05:41:56,2025-10-10 05:41:56
2025-10-10 05:42:01,2025-10-10 05:42:01
2025-10-10 05:42:06,2025-10-10 05:42:06
2025-10-10 05:42:11,2025-10-10 05:42:11
2025-10-10 05:42:16,2025-10-10 05:42:16
2025-10-10 05:42:21,2025-10-10 05:42:21
2025-10-10 05:42:26,2025-10-10 05:42:26
2025-10-10 05:42:31,2025-10-10 05:42:31
2025-10-10 05:42:37,2025-10-10 05:42:36
2025-10-10 05:42:42,2025-10-10 05:42:41
2025-10-10 05:42:47,2025-10-10 05:42:47
2025-10-10 05:42:52,2025-10-10 05:42:52
2025-10-10 05:42:57,2025-10-10 05:42:57
2025-10-10 05:43:02,2025-10-10 05:43:02
2025-10-10 05:43:07,2025-10-10 05:43:07
2025-10-10 05:43:12,2025-10-10 05:43:12
2025-10-10 05:43:17,2025-10-10 05:43:17
2025-10-10 05:43:22,2025-10-10 05:43:22
2025-10-10 05:43:27,2025-10-10 05:43:27
2025-10-10 05:43:32,2025-10-10 05:43:32
2025-10-10 05:43:38,2025-10-10 05:43:37
2025-10-10 05:43:43,2025-10-10 05:43:43
2025-10-10 05:43:48,2025-10-10 05:43:48
2025-10-10 05:43:53,2025-10-10 05:43:53
2025-10-10 05:43:58,2025-10-10 05:43:58
2025-10-10 05:44:03,2025-10-10 05:44:03
2025-10-10 05:44:08,2025-10-10 05:44:08
2025-10-10 05:44:13,2025-10-10 05:44:13
2025-10-10 05:44:18,2025-10-10 05:44:18
2025-10-10 05:44:23,2025-10-10 05:44:23
2025-10-10 05:44:28,2025-10-10 05:44:28
2025-10-10 05:44:34,2025-10-10 05:44:33
2025-10-10 05:44:39,2025-10-10 05:44:39
2025-10-10 05:44:44,2025-10-10 05:44:44
2025-10-10 05:44:49,2025-10-10 05:44:49
2025-10-10 05:44:54,2025-10-10 05:44:54
